"","Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EmployeeCount","EmployeeNumber","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","Starting Salary","Current Salary","NumCompaniesWorked","Over18","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StandardHours","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager"
"794",28,"No","Travel_Rarely",895,"Research & Development",15,2,"Life Sciences",1,1102,1,"Male",50,3,1,"Laboratory Technician",3,"Divorced",8828,89928,1,"Y","No",16,3,4,80,1,4,5,2,4,2,2,2
"681",36,"No","Travel_Rarely",188,"Research & Development",7,4,"Other",1,949,2,"Male",65,3,1,"Research Scientist",4,"Single",18712,93172,2,"Y","No",18,3,3,80,0,8,6,3,6,2,0,1
"327",39,"No","Travel_Frequently",672,"Research & Development",7,2,"Medical",1,444,3,"Male",54,2,5,"Manager",4,"Married",77088,84564,1,"Y","No",15,3,1,80,1,21,2,3,21,9,13,3
"834",27,"No","Travel_Rarely",199,"Research & Development",6,3,"Life Sciences",1,1162,4,"Male",55,2,1,"Research Scientist",3,"Married",10156,31800,1,"Y","No",13,3,3,80,1,4,0,3,4,2,2,2
"1109",35,"No","Travel_Rarely",992,"Research & Development",1,3,"Medical",1,1564,4,"Male",68,2,1,"Laboratory Technician",1,"Single",9800,86924,1,"Y","No",19,3,2,80,0,3,3,3,3,0,1,2
"161",22,"No","Travel_Rarely",1256,"Research & Development",19,1,"Medical",1,217,3,"Male",80,3,1,"Research Scientist",4,"Married",9292,47968,1,"Y","No",24,4,1,80,2,2,6,3,2,2,2,2
"23",34,"No","Travel_Rarely",419,"Research & Development",7,4,"Life Sciences",1,28,1,"Female",53,3,3,"Research Director",2,"Single",47976,85172,0,"Y","No",11,3,3,80,0,13,4,3,12,6,2,11
"771",46,"No","Travel_Rarely",430,"Research & Development",1,4,"Medical",1,1069,4,"Male",40,3,5,"Research Director",4,"Divorced",78508,85780,9,"Y","No",17,3,4,80,2,23,0,3,2,2,2,2
"855",45,"No","Travel_Rarely",1457,"Research & Development",7,3,"Medical",1,1195,1,"Female",83,3,1,"Research Scientist",3,"Married",17908,80400,4,"Y","Yes",19,3,3,80,1,7,2,2,3,2,0,2
"1444",42,"No","Travel_Rarely",300,"Research & Development",2,3,"Life Sciences",1,2031,1,"Male",56,3,5,"Manager",3,"Married",75520,69248,5,"Y","No",11,3,1,80,0,24,2,2,22,6,4,14
"1456",40,"No","Travel_Rarely",1322,"Research & Development",2,4,"Life Sciences",1,2048,3,"Male",52,2,1,"Research Scientist",3,"Single",11236,10900,2,"Y","No",14,3,4,80,0,8,2,3,2,2,2,2
"1038",45,"No","Travel_Rarely",1448,"Research & Development",29,3,"Technical Degree",1,1465,2,"Male",55,3,3,"Manufacturing Director",4,"Married",37520,58880,4,"Y","Yes",18,3,4,80,2,10,4,4,3,1,1,2
"547",29,"No","Travel_Rarely",1396,"Sales",10,3,"Life Sciences",1,749,3,"Male",99,3,1,"Sales Representative",3,"Single",10568,11020,1,"Y","No",11,3,3,80,0,1,6,3,1,0,0,0
"572",26,"No","Travel_Frequently",575,"Research & Development",1,2,"Life Sciences",1,792,1,"Female",71,1,1,"Laboratory Technician",4,"Divorced",17456,21152,3,"Y","No",14,3,1,80,1,5,2,3,2,2,2,0
"130",49,"No","Travel_Rarely",470,"Research & Development",20,4,"Medical",1,170,3,"Female",96,3,2,"Manufacturing Director",1,"Married",26268,22196,1,"Y","No",14,3,3,80,0,16,2,2,15,11,5,11
"598",42,"No","Travel_Rarely",932,"Research & Development",1,2,"Life Sciences",1,827,4,"Female",43,2,2,"Manufacturing Director",4,"Married",24248,16204,9,"Y","Yes",13,3,4,80,1,8,4,3,4,3,0,2
"720",47,"No","Travel_Rarely",955,"Sales",4,2,"Life Sciences",1,1003,4,"Female",83,3,2,"Sales Executive",4,"Single",16652,34284,1,"Y","Yes",17,3,3,80,0,9,0,3,9,0,0,7
"1295",41,"No","Travel_Rarely",447,"Research & Development",5,3,"Life Sciences",1,1814,2,"Male",85,4,2,"Healthcare Representative",2,"Single",27480,62120,3,"Y","No",12,3,1,80,0,11,3,1,3,2,1,2
"100",44,"No","Non-Travel",489,"Research & Development",23,3,"Medical",1,132,2,"Male",67,3,2,"Laboratory Technician",2,"Married",8168,100172,4,"Y","No",12,3,3,80,1,17,3,4,3,2,1,2
"894",29,"No","Travel_Rarely",1010,"Research & Development",1,3,"Life Sciences",1,1249,1,"Female",97,3,1,"Research Scientist",4,"Divorced",15040,22392,1,"Y","No",15,3,1,80,3,3,5,3,3,2,1,2
"1386",34,"No","Travel_Rarely",1239,"Sales",13,4,"Medical",1,1951,4,"Male",39,3,3,"Sales Executive",3,"Divorced",34512,91656,1,"Y","No",18,3,3,80,1,9,2,2,8,7,1,1
"214",51,"No","Travel_Rarely",1469,"Research & Development",8,4,"Life Sciences",1,296,2,"Male",81,2,3,"Research Director",2,"Married",49960,62944,5,"Y","No",16,3,4,80,2,16,5,1,10,9,4,7
"1234",30,"No","Travel_Rarely",793,"Research & Development",16,1,"Life Sciences",1,1729,2,"Male",33,3,1,"Research Scientist",4,"Married",11448,15244,1,"Y","No",12,3,2,80,1,10,2,2,10,0,0,8
"18",22,"No","Non-Travel",1123,"Research & Development",16,2,"Medical",1,22,4,"Male",96,4,1,"Laboratory Technician",4,"Divorced",11740,29296,1,"Y","Yes",13,3,2,80,2,1,2,2,1,0,0,0
"1097",40,"No","Travel_Rarely",898,"Human Resources",6,2,"Medical",1,1550,3,"Male",38,3,4,"Manager",4,"Single",65748,69524,1,"Y","Yes",21,4,4,80,0,21,2,3,21,7,7,7
"230",29,"Yes","Travel_Rarely",896,"Research & Development",18,1,"Medical",1,315,3,"Male",86,2,1,"Research Scientist",4,"Single",9556,59844,1,"Y","Yes",13,3,3,80,0,4,3,2,4,3,0,1
"309",58,"No","Non-Travel",390,"Research & Development",1,4,"Life Sciences",1,422,4,"Male",32,1,2,"Healthcare Representative",3,"Divorced",22640,68224,2,"Y","Yes",13,3,4,80,1,12,2,3,5,3,1,2
"725",24,"No","Travel_Rarely",1206,"Research & Development",17,1,"Medical",1,1009,4,"Female",41,2,2,"Manufacturing Director",3,"Divorced",17508,96468,1,"Y","No",15,3,2,80,2,5,6,3,4,2,3,2
"133",31,"Yes","Travel_Rarely",542,"Sales",20,3,"Life Sciences",1,175,2,"Female",71,1,2,"Sales Executive",3,"Married",18236,99152,3,"Y","Yes",11,3,3,80,1,4,2,3,2,2,2,2
"569",55,"Yes","Travel_Rarely",725,"Research & Development",2,3,"Medical",1,787,4,"Male",78,3,5,"Manager",1,"Married",79436,84796,5,"Y","Yes",13,3,4,80,1,24,2,3,5,2,1,4
"1277",37,"No","Travel_Rarely",589,"Sales",9,2,"Marketing",1,1787,2,"Male",46,2,2,"Sales Executive",2,"Married",16756,35200,1,"Y","No",14,3,1,80,2,5,2,3,5,2,0,3
"1245",30,"No","Travel_Frequently",1312,"Research & Development",2,4,"Technical Degree",1,1745,4,"Female",78,2,1,"Research Scientist",1,"Single",19872,105708,0,"Y","No",16,3,4,80,0,10,2,3,9,7,0,7
"573",29,"No","Travel_Rarely",657,"Research & Development",27,3,"Medical",1,793,2,"Female",66,3,2,"Healthcare Representative",3,"Married",17340,102196,4,"Y","No",12,3,1,80,1,11,3,2,8,7,1,1
"198",42,"No","Non-Travel",926,"Research & Development",21,2,"Medical",1,270,3,"Female",36,3,2,"Manufacturing Director",3,"Divorced",21060,65756,2,"Y","No",16,3,2,80,1,11,5,3,5,3,0,2
"318",52,"Yes","Travel_Rarely",723,"Research & Development",8,4,"Medical",1,433,3,"Male",85,2,2,"Research Scientist",2,"Married",19764,70988,2,"Y","No",15,3,1,80,0,11,3,2,8,2,7,7
"441",34,"Yes","Travel_Frequently",988,"Human Resources",23,3,"Human Resources",1,590,2,"Female",43,3,3,"Human Resources",1,"Divorced",39800,46132,9,"Y","Yes",15,3,3,80,3,11,2,3,3,2,0,2
"1298",26,"Yes","Travel_Rarely",920,"Human Resources",20,2,"Medical",1,1818,4,"Female",69,3,1,"Human Resources",2,"Married",8592,27556,0,"Y","Yes",11,3,3,80,0,6,3,3,5,1,1,4
"592",33,"Yes","Travel_Rarely",118,"Sales",16,3,"Marketing",1,819,1,"Female",69,3,2,"Sales Executive",1,"Single",21296,106028,5,"Y","No",15,3,3,80,0,6,3,3,3,2,0,2
"613",28,"No","Travel_Rarely",760,"Sales",2,4,"Marketing",1,846,2,"Female",81,3,2,"Sales Executive",2,"Married",19116,14792,1,"Y","Yes",20,4,1,80,0,8,2,3,8,7,7,5
"1367",39,"No","Non-Travel",1251,"Sales",21,4,"Life Sciences",1,1929,1,"Female",32,1,2,"Sales Executive",3,"Married",22944,15948,6,"Y","No",19,3,3,80,1,10,1,3,3,2,1,2
"338",29,"No","Travel_Rarely",738,"Research & Development",9,5,"Other",1,455,2,"Male",30,2,1,"Laboratory Technician",4,"Single",15932,30484,0,"Y","No",17,3,3,80,0,4,2,3,3,2,2,2
"1454",36,"No","Travel_Rarely",1120,"Sales",11,4,"Marketing",1,2045,2,"Female",100,2,2,"Sales Executive",4,"Married",26608,57476,4,"Y","No",13,3,1,80,1,8,2,2,6,3,0,0
"969",36,"No","Travel_Frequently",607,"Sales",7,3,"Marketing",1,1362,1,"Female",83,4,2,"Sales Executive",1,"Married",18556,9044,2,"Y","No",16,3,4,80,1,17,2,2,15,7,6,13
"1065",30,"No","Travel_Rarely",330,"Human Resources",1,3,"Life Sciences",1,1499,3,"Male",46,3,1,"Human Resources",3,"Divorced",8256,61712,0,"Y","No",21,4,1,80,1,6,3,4,5,3,1,3
"947",40,"Yes","Travel_Rarely",299,"Sales",25,4,"Marketing",1,1318,4,"Male",57,2,3,"Sales Executive",2,"Single",36376,68940,2,"Y","Yes",12,3,3,80,0,9,2,3,5,4,1,0
"981",31,"Yes","Travel_Frequently",703,"Sales",2,3,"Life Sciences",1,1379,3,"Female",90,2,1,"Sales Representative",4,"Single",11140,47528,7,"Y","No",14,3,3,80,0,3,3,4,1,0,0,0
"1283",33,"No","Travel_Rarely",867,"Research & Development",8,4,"Life Sciences",1,1798,4,"Male",90,4,1,"Research Scientist",1,"Married",12572,24304,6,"Y","No",19,3,2,80,1,14,1,3,10,8,7,6
"1324",28,"No","Non-Travel",280,"Human Resources",1,2,"Life Sciences",1,1858,3,"Male",43,3,1,"Human Resources",4,"Divorced",10824,41976,1,"Y","No",15,3,2,80,1,3,2,3,3,2,2,2
"861",22,"Yes","Travel_Frequently",1256,"Research & Development",3,4,"Life Sciences",1,1203,3,"Male",48,2,1,"Research Scientist",4,"Married",11412,16892,0,"Y","Yes",11,3,2,80,1,1,5,3,0,0,0,0
"1466",36,"No","Travel_Frequently",884,"Research & Development",23,2,"Medical",1,2061,3,"Male",41,4,2,"Laboratory Technician",4,"Married",10284,49160,4,"Y","No",17,3,3,80,1,17,3,3,5,2,0,3
"95",32,"No","Travel_Rarely",1093,"Sales",6,4,"Medical",1,125,2,"Male",87,3,2,"Sales Executive",3,"Single",20040,97204,1,"Y","No",16,3,1,80,0,12,0,3,11,8,5,7
"1166",44,"No","Travel_Frequently",602,"Human Resources",1,5,"Human Resources",1,1642,1,"Male",37,3,2,"Human Resources",4,"Married",22972,42012,4,"Y","Yes",11,3,3,80,0,14,3,3,10,7,0,2
"887",30,"No","Travel_Rarely",1465,"Research & Development",1,3,"Medical",1,1241,4,"Male",63,3,1,"Research Scientist",2,"Married",14316,37476,0,"Y","Yes",21,4,1,80,1,12,2,3,11,9,5,7
"72",29,"No","Travel_Rarely",1328,"Research & Development",2,3,"Life Sciences",1,94,3,"Male",76,3,1,"Research Scientist",2,"Married",10812,19824,0,"Y","No",23,4,4,80,1,6,3,3,5,4,0,4
"1311",58,"No","Travel_Frequently",1216,"Research & Development",15,4,"Life Sciences",1,1837,1,"Male",87,3,4,"Research Director",3,"Married",63148,86496,2,"Y","Yes",14,3,2,80,0,23,3,3,2,2,2,2
"1449",41,"No","Travel_Rarely",930,"Sales",3,3,"Life Sciences",1,2037,3,"Male",57,2,2,"Sales Executive",2,"Divorced",35752,48908,2,"Y","No",11,3,3,80,1,14,5,3,5,4,0,4
"118",36,"No","Travel_Frequently",1467,"Sales",11,2,"Technical Degree",1,154,2,"Female",92,3,3,"Sales Executive",4,"Married",38952,91808,0,"Y","No",14,3,3,80,1,10,6,3,9,7,2,8
"790",44,"Yes","Travel_Rarely",1376,"Human Resources",1,2,"Medical",1,1098,2,"Male",91,2,3,"Human Resources",1,"Married",41928,9304,9,"Y","No",14,3,4,80,1,24,1,3,20,6,3,6
"1338",28,"No","Travel_Rarely",1172,"Sales",3,3,"Medical",1,1875,2,"Female",78,3,1,"Sales Representative",2,"Married",11424,14768,1,"Y","No",19,3,4,80,1,1,3,3,1,0,0,0
"45",30,"No","Travel_Frequently",721,"Research & Development",1,2,"Medical",1,57,3,"Female",58,3,2,"Laboratory Technician",4,"Single",16044,43124,1,"Y","No",23,4,4,80,0,12,2,3,12,8,3,7
"394",34,"No","Non-Travel",1381,"Sales",4,4,"Marketing",1,523,3,"Female",72,3,2,"Sales Executive",3,"Married",26152,50960,9,"Y","No",15,3,1,80,1,6,3,3,3,2,1,2
"1103",36,"No","Travel_Rarely",1157,"Sales",2,4,"Life Sciences",1,1556,3,"Male",70,3,1,"Sales Representative",4,"Single",10576,68004,3,"Y","Yes",21,4,4,80,0,7,3,2,3,2,1,2
"800",42,"No","Travel_Rarely",469,"Research & Development",2,2,"Medical",1,1109,4,"Male",35,3,4,"Manager",1,"Married",70660,57596,0,"Y","No",17,3,4,80,1,23,3,3,22,6,13,7
"335",45,"No","Travel_Rarely",549,"Research & Development",8,4,"Other",1,452,4,"Male",75,3,2,"Research Scientist",4,"Married",14788,37112,9,"Y","No",14,3,1,80,2,12,3,3,10,9,9,8
"579",38,"No","Travel_Frequently",240,"Research & Development",2,4,"Life Sciences",1,803,1,"Female",75,4,2,"Manufacturing Director",1,"Single",23920,104340,6,"Y","Yes",12,3,4,80,0,17,2,3,15,7,4,12
"1238",32,"Yes","Travel_Rarely",964,"Sales",1,2,"Life Sciences",1,1734,1,"Male",34,1,2,"Sales Executive",2,"Single",26940,48588,6,"Y","No",15,3,2,80,0,10,2,3,0,0,0,0
"328",39,"Yes","Travel_Rarely",1162,"Sales",3,2,"Medical",1,445,4,"Female",41,3,2,"Sales Executive",3,"Married",20952,71112,4,"Y","Yes",18,3,1,80,0,12,3,2,1,0,0,0
"498",44,"No","Travel_Rarely",1315,"Research & Development",3,4,"Other",1,671,4,"Male",35,3,5,"Manager",4,"Married",78052,37432,4,"Y","Yes",12,3,1,80,1,26,2,4,2,2,0,1
"186",33,"No","Travel_Rarely",931,"Research & Development",14,3,"Medical",1,252,4,"Female",72,3,1,"Research Scientist",2,"Married",11024,18692,1,"Y","No",13,3,4,80,1,8,5,3,8,7,1,6
"359",36,"No","Non-Travel",845,"Sales",1,5,"Medical",1,479,4,"Female",45,3,2,"Sales Executive",4,"Single",26612,61104,4,"Y","No",15,3,2,80,0,7,6,3,1,0,0,0
"1418",31,"No","Travel_Rarely",1154,"Sales",2,2,"Life Sciences",1,1996,1,"Male",54,3,1,"Sales Representative",3,"Married",12268,25572,0,"Y","No",19,3,3,80,1,3,1,3,2,2,1,2
"1039",48,"No","Travel_Rarely",1221,"Sales",7,3,"Marketing",1,1466,3,"Male",96,3,2,"Sales Executive",1,"Divorced",21944,99180,4,"Y","No",11,3,1,80,3,15,3,3,2,2,2,2
"51",48,"Yes","Travel_Rarely",626,"Research & Development",1,2,"Life Sciences",1,64,1,"Male",98,2,3,"Laboratory Technician",3,"Single",21524,77176,9,"Y","Yes",13,3,4,80,0,23,2,3,1,0,0,0
"1286",46,"No","Non-Travel",849,"Sales",26,2,"Life Sciences",1,1801,2,"Male",98,2,2,"Sales Executive",2,"Single",31964,100664,8,"Y","No",15,3,3,80,0,6,3,3,2,2,2,2
"412",60,"No","Travel_Rarely",422,"Research & Development",7,3,"Life Sciences",1,549,1,"Female",41,3,5,"Manager",1,"Married",78264,15416,5,"Y","No",11,3,4,80,0,33,5,1,29,8,11,10
"750",52,"Yes","Travel_Rarely",266,"Sales",2,1,"Marketing",1,1038,1,"Female",57,1,5,"Manager",4,"Married",79380,103384,1,"Y","No",15,3,4,80,1,33,3,3,32,14,6,9
"669",28,"No","Travel_Rarely",995,"Research & Development",9,3,"Medical",1,930,3,"Female",77,3,1,"Research Scientist",3,"Divorced",9508,39336,5,"Y","No",18,3,2,80,1,6,2,3,2,2,2,2
"271",55,"No","Travel_Rarely",452,"Research & Development",1,3,"Medical",1,374,4,"Male",81,3,5,"Manager",1,"Single",76180,75752,0,"Y","Yes",14,3,3,80,0,37,2,3,36,10,4,13
"47",34,"No","Non-Travel",1065,"Sales",23,4,"Marketing",1,60,2,"Male",72,3,2,"Sales Executive",3,"Single",18272,40136,0,"Y","No",20,4,3,80,0,10,2,3,9,5,8,7
"745",37,"Yes","Travel_Rarely",1141,"Research & Development",11,2,"Medical",1,1033,1,"Female",61,1,2,"Healthcare Representative",2,"Married",19108,57528,5,"Y","No",15,3,1,80,0,15,2,1,1,0,0,0
"325",30,"No","Travel_Rarely",1275,"Research & Development",28,2,"Medical",1,441,4,"Female",64,3,2,"Research Scientist",4,"Married",23100,47736,1,"Y","No",13,3,4,80,2,11,2,3,10,8,1,9
"1159",37,"No","Travel_Rarely",671,"Research & Development",19,3,"Life Sciences",1,1631,3,"Male",85,3,2,"Manufacturing Director",3,"Married",23072,105972,3,"Y","No",17,3,1,80,3,9,2,2,4,3,0,2
"1341",36,"No","Travel_Rarely",1266,"Sales",10,4,"Technical Degree",1,1880,2,"Female",63,2,2,"Sales Executive",3,"Married",22692,24240,1,"Y","Yes",13,3,1,80,1,10,4,3,10,9,1,7
